                   GRB (Trig#)               Trig_Time (SOD)               Time Region [s]                          T_90                          T_50                       rT_0.90                       rT_0.50                       rT_0.45                          T_av                         T_max                        T_rise                        T_fall                           Cts                       Rate_pk                          Band                              
       GRB170406x   (00745966)                     44943.130                -40.63->887.37              881.000 +/-7.697             549.000 +/-25.558             280.000 +/-13.432              124.000 +/-5.751              109.000 +/-4.997             433.667 +/-15.557            877.870 +/-367.494            890.500 +/-366.900              0.000 +/-366.630                6.082 +/-0.344               0.018 +/-0.0065                     15-350keV
       GRB170402x   (00745090)                     38023.150                  54.35->66.35                9.000 +/-2.096                5.000 +/-1.490                7.000 +/-1.535                4.000 +/-0.640                3.000 +/-0.559               60.964 +/-1.316               58.850 +/-2.417                1.500 +/-2.894                7.500 +/-2.720                0.162 +/-0.045               0.022 +/-0.0106                     15-350keV
       GRB170401x   (00745022)                     68455.150                 -19.63->71.49               78.880 +/-5.224               39.440 +/-4.168               41.480 +/-3.823               18.360 +/-1.585               16.320 +/-1.341               29.541 +/-2.857              24.910 +/-24.386              37.740 +/-24.251              41.140 +/-23.977                1.181 +/-0.122               0.024 +/-0.0130                     15-350keV
       GRB170331x   (00744791)                      6048.440                 9.835->35.875               20.160 +/-1.285               10.290 +/-0.914               14.070 +/-1.041                5.880 +/-0.415                5.040 +/-0.359               21.461 +/-0.598               12.460 +/-5.633                0.525 +/-5.718               19.635 +/-5.840                1.875 +/-0.154               0.134 +/-0.0408                     15-350keV
       GRB170307x   (00741528)                     73463.280                 63.29->102.05               31.280 +/-1.751               18.360 +/-1.910               22.100 +/-1.469                9.520 +/-0.613                8.500 +/-0.537               84.661 +/-0.729               86.240 +/-7.748               17.850 +/-7.907               13.430 +/-7.916                2.030 +/-0.142               0.090 +/-0.0256                     15-350keV
       GRB170306x   (00741220)                     25574.520               -86.545->37.205              116.850 +/-2.045               95.550 +/-5.113               12.900 +/-1.539                6.150 +/-0.721                5.400 +/-0.635              -10.468 +/-4.989              27.380 +/-36.945             110.325 +/-37.069               6.525 +/-37.036                1.868 +/-0.267               0.068 +/-0.0300                     15-350keV
       GRB170222x   (00739517)                      8673.070                32.195->91.355               53.040 +/-0.870               29.070 +/-0.889               45.390 +/-1.054               19.890 +/-0.602               17.340 +/-0.568               65.653 +/-0.616               82.940 +/-8.248               46.155 +/-8.294                6.885 +/-8.133                7.154 +/-0.249               0.220 +/-0.0347                     15-350keV
       GRB170208x   (00737438)                     65478.320                14.575->27.625                9.990 +/-1.315                5.670 +/-0.244                5.760 +/-0.403                2.070 +/-0.152                1.800 +/-0.135               19.125 +/-0.241               15.880 +/-0.121                0.405 +/-0.153                9.585 +/-1.311                2.004 +/-0.113               0.717 +/-0.1309                     15-350keV
       GRB170203x   (00736432)                       223.060                15.175->38.215               19.800 +/-1.637                9.270 +/-1.768                6.930 +/-0.602                3.060 +/-0.244                2.700 +/-0.214               23.206 +/-0.737               16.480 +/-4.824                0.405 +/-4.811               19.395 +/-5.077                0.673 +/-0.064               0.064 +/-0.0248                     15-350keV
       GRB170128x   (00735413)                     12231.470                467.03->481.03                8.000 +/-2.827                5.000 +/-1.705                6.000 +/-1.434                3.000 +/-0.657                3.000 +/-0.575              471.815 +/-2.547              467.530 +/-3.499                0.500 +/-3.500                7.500 +/-4.342                0.104 +/-0.037               0.015 +/-0.0069                     15-350keV
       GRB170126x   (00735188)                     41444.280                14.385->28.465                9.900 +/-0.726                4.070 +/-0.320                7.370 +/-0.443                2.750 +/-0.161                2.420 +/-0.141               18.762 +/-0.234               17.300 +/-0.683                2.035 +/-0.693                7.865 +/-0.964                4.725 +/-0.245               1.022 +/-0.2441                     15-350keV
       GRB170115x   (00733103)                     75010.090                        -1->10                  #t90 +/-dt90                   t50 +/-dt50                 rt90 +/-drt90                 rt50 +/-drt50                 rt45 +/-drt45                   tav +/-dtav                 tmax +/-dtmax               trise +/-dtrise               tfall +/-dtfall                cts +/-cts_err           pk_rate +/-dpk_rate                          band
       GRB170112x   (00732188)                      7322.110                154.39->223.39               62.000 +/-6.602               33.000 +/-7.198               19.000 +/-3.124                8.000 +/-1.408                7.000 +/-1.275              189.151 +/-5.507             195.890 +/-16.767              40.500 +/-16.573              21.500 +/-17.026                0.335 +/-0.080               0.006 +/-0.0075                     15-350keV
       GRB170110x   (00731725)                     63615.550                        -1->10                  #t90 +/-dt90                   t50 +/-dt50                 rt90 +/-drt90                 rt50 +/-drt50                 rt45 +/-drt45                   tav +/-dtav                 tmax +/-dtmax               trise +/-dtrise               tfall +/-dtfall                cts +/-cts_err           pk_rate +/-dpk_rate                          band
       GRB170110x   (00731535)                     28935.560                 -0.935->9.985               10.180 +/-0.585                6.210 +/-0.947                0.980 +/-0.132                0.470 +/-0.062                0.420 +/-0.055                4.888 +/-0.552                6.380 +/-2.646                7.005 +/-2.671                3.175 +/-2.733                0.255 +/-0.041               0.088 +/-0.0687                     15-350keV
       GRB170109x   (00731257)                     52847.560                        -1->10                4.000 +/-3.053                2.000 +/-1.831                3.000 +/-1.403                2.000 +/-0.643                1.000 +/-0.525                2.145 +/-8.990                1.440 +/-1.344                1.500 +/-1.350                2.500 +/-3.034                0.143 +/-0.081               0.040 +/-0.0216                     15-350keV
       GRB170109x   (00731183)                     40247.560                  0.065->9.805                9.380 +/-0.262                6.060 +/-0.988                1.050 +/-0.110                0.490 +/-0.051                0.430 +/-0.045                5.354 +/-0.412                5.420 +/-2.741                5.215 +/-2.753                4.165 +/-2.737                0.298 +/-0.042               0.067 +/-0.1000                     15-350keV
       GRB170107x   (00730874)                     49047.570                 15.93->125.93             108.000 +/-11.470              71.000 +/-14.326               28.000 +/-4.367               14.000 +/-2.052               12.000 +/-1.773               65.638 +/-7.412              24.430 +/-37.080               7.500 +/-36.774             100.500 +/-38.265                0.458 +/-0.104               0.012 +/-0.0072                     15-350keV
       GRB170106x   (00730513)                     30663.580              -173.08->-166.08                6.000 +/-1.276                3.000 +/-1.573                4.000 +/-1.137                2.000 +/-0.560                2.000 +/-0.534             -168.170 +/-1.285             -166.580 +/-1.655                5.500 +/-2.100                0.500 +/-1.612                0.089 +/-0.029               0.027 +/-0.0097                     15-350keV
       GRB170103x   (00729600)                     23522.340              -43.095->116.335              117.710 +/-4.233               52.150 +/-1.942               98.340 +/-2.351               37.250 +/-1.265               32.780 +/-1.090               70.466 +/-1.086              114.100 +/-1.507              116.965 +/-4.482                0.745 +/-1.503               14.615 +/-0.364               0.278 +/-0.0527                     15-350keV
       GRB170101x   (00729293)                      8763.800                  12.68->23.08                3.240 +/-0.273                1.040 +/-0.033                2.960 +/-0.124                0.760 +/-0.021                0.640 +/-0.019               15.282 +/-0.040               14.580 +/-0.062                0.340 +/-0.103                2.900 +/-0.279               10.140 +/-0.168               7.994 +/-0.3740                     15-350keV
